Date	AAPL	SPY	TSLA	DAL	MRNA	AMZN
2024-08-31	227.1002655029297	550.644287109375	214.11000061035156	41.53582763671875	77.4000015258789	178.5
2024-09-30	231.0670928955078	562.21044921875	261.6300048828125	49.64944076538086	66.83000183105469	186.3300018310547
2024-10-31	224.03590393066406	557.1934814453125	249.85000610351562	56.1001091003418	54.36000061035156	186.39999389648438
2024-11-30	235.62010192871094	590.4207763671875	345.1600036621094	62.5709342956543	43.060001373291016	207.88999938964844
2024-12-31	248.61578369140625	576.21533203125	403.8399963378906	59.315914154052734	41.58000183105469	219.38999938964844
2025-01-31	234.29966735839844	591.6903076171875	404.6000061035156	65.95340728759766	39.41999816894531	237.67999267578125
2025-02-28	240.36160278320312	584.1788940429688	292.9800109863281	59.08699417114258	30.959999084472656	212.27999877929688
2025-03-31	220.7720947265625	551.6289672851562	259.1600036621094	42.85084533691406	28.350000381469727	190.25999450683594
2025-04-30	211.20095825195312	546.8462524414062	282.1600036621094	40.914703369140625	28.540000915527344	184.4199981689453
2025-05-31	199.88394165039062	581.2127685546875	346.4599914550781	47.698455810546875	26.559999465942383	205.00999450683594
2025-06-30	204.18316650390625	611.0790405273438	317.6600036621094	48.47716522216797	27.59000015258789	219.38999938964844
2025-07-31	206.57164001464844	625.1531372070312	308.2699890136719	52.634178161621094	29.559999465942383	234.11000061035156
2025-08-31	231.28561401367188	637.98095703125	333.8699951171875	61.1114387512207	24.09000015258789	229.0
2025-09-30	253.69287109375	660.7061157226562	444.7200012207031	56.13587188720703	25.829999923706055	219.57000732421875
2025-10-31	269.37493896484375	676.45556640625	456.55999755859375	56.932525634765625	27.15999984741211	244.22000122070312
2025-11-30	278.0930480957031	677.7747192382812	430.1700134277344	63.600120544433594	25.979999542236328	233.22000122070312
2025-12-31	271.12200927734375	678.3152465820312	449.7200012207031	68.8587875366211	29.489999771118164	230.82000732421875
2026-01-31	258.775634765625	688.3120727539062	430.4100036621094	65.37616729736328	44.06999969482422	239.3000030517578
2026-02-28	263.70941162109375	682.3637084960938	402.510009765625	65.36476135253906	53.56999969482422	210.0
2026-03-31	253.33790588378906	648.6688842773438	371.75	66.14078521728516	50.79999923706055	208.27000427246094
2026-04-30	270.86663818359375	716.8132934570312	381.6300048828125	67.64307403564453	45.939998626708984	265.05999755859375
2026-05-31	311.7911071777344	754.5361328125	435.7900085449219	82.27684783935547	47.189998626708984	270.6400146484375
2026-06-30	289.11065673828125	746.77001953125	420.6000061035156	93.42931365966797	70.02999877929688	238.33999633789062
2026-07-31	333.1426696777344	741.6900024414062	308.8500061035156	88.58999633789062	57.91999816894531	235.5
