	asset	estimated_return
0	AAPL	0.018983763655847405
1	SPY	0.013683184179382895
2	TSLA	0.028521955366966063
3	DAL	0.040080271677613015
4	MRNA	0.002715388037517339
5	AMZN	0.016011308979457885
