index	AAPL	SPY	TSLA	DAL	MRNA	AMZN	risk	return
0	0.15642834273277528	0.7787455449158635	1.9021102099182594e-20	5.269999591885557e-20	0.06482611235136128	-1.596950798568749e-20	0.034498111167015164	0.013801354319451453
1	0.17938823859861502	0.7555554632913498	-1.4798482465981794e-20	0.0038435376193506495	0.061212760490684553	-2.9199366250910027e-20	0.03460298903363657	0.014064143485213199
2	0.18442701549777818	0.7420817613912832	-1.4361851156842097e-20	0.012637715510259762	0.06085350760067887	-2.83365025615361e-20	0.034769778247038516	0.014326932650974943
3	0.1894657923969415	0.7286080594912162	-1.392271249193236e-20	0.021431893401169088	0.06049425471067316	-2.747301337633856e-20	0.03496218200603819	0.014589721816736689
4	0.19450456929610452	0.7151343575911497	-1.3485579144908656e-20	0.030226071292078285	0.06013500182066744	-2.6612605050699673e-20	0.035179780043190965	0.014852510982498433
5	0.19954334619526778	0.7016606556910829	-1.3049542842975243e-20	0.03902024918298755	0.05977574893066174	-2.57523752133455e-20	0.035422108056129324	0.015115300148260178
6	0.20458212309443102	0.6881869537910162	-1.2610384021430621e-20	0.04781442707389678	0.05941649604065604	-2.4887347707178717e-20	0.035688662294652555	0.015378089314021924
7	0.20962089999359423	0.6747132518909494	-1.2173138837497775e-20	0.056608604964806006	0.05905724315065035	-2.4028713219828923e-20	0.035978904313670484	0.015640878479783668
8	0.21465967689275747	0.6612395499908826	-1.1736445930037197e-20	0.06540278285571528	0.05869799026064464	-2.3162282102919812e-20	0.03629226579908737	0.015903667645545412
9	0.21969845379192057	0.6477658480908159	-1.1299355795082083e-20	0.07419696074662462	0.05833873737063892	-2.230231255416562e-20	0.03662815338015015	0.01616645681130716
10	0.22473723069108376	0.6342921461907494	-1.0861591750763284e-20	0.08299113863753373	0.05797948448063322	-2.144194514859078e-20	0.036985953350384945	0.016429245977068904
11	0.2297760075902469	0.6208184442906828	-1.0425183015788256e-20	0.09178531652844289	0.05762023159062751	-2.0577674948794403e-20	0.037365036229378215	0.016692035142830648
12	0.2348147844894102	0.6073447423906159	-9.985587151762083e-21	0.10057949441935221	0.057260978700621835	-1.9715244589972506e-20	0.037764761108704095	0.016954824308592395
13	0.23985356138857344	0.593871040490549	-9.547416498445085e-21	0.10937367231026154	0.056901725810616095	-1.8852297847757084e-20	0.03818447973668204	0.01721761347435414
14	0.2448923382877366	0.5803973385904823	-9.110051364452185e-21	0.11816785020117072	0.056542472920610404	-1.799053727711694e-20	0.038623540307868215	0.017480402640115883
15	0.2499311151868998	0.5669236366904156	-8.67385230906938e-21	0.1269620280920799	0.056183220030604705	-1.713004892208156e-20	0.03908129093383187	0.017743191805877627
16	0.25496989208606297	0.5534499347903488	-8.235473213192666e-21	0.13575620598298924	0.05582396714059899	-1.6268875394720923e-20	0.03955708278153163	0.018005980971639374
17	0.2600086689852262	0.5399762328902822	-7.79848651673628e-21	0.1445503838738984	0.05546471425059329	-1.5404958022319802e-20	0.04005027287427554	0.01826877013740112
18	0.2650474458843894	0.5265025309902154	-7.359061878192822e-21	0.1533445617648076	0.055105461360587596	-1.4541402851311098e-20	0.04056022655769768	0.018531559303162862
19	0.27008622278355265	0.5130288290901485	-6.921117749261476e-21	0.162138739655717	0.054746208470581884	-1.3677682313190422e-20	0.04108631963936958	0.01879434846892461
20	0.27512499968271575	0.4995551271900818	-6.486408514499247e-21	0.17093291754662626	0.05438695558057615	-1.2818352361974368e-20	0.041627940215604904	0.019057137634686354
21	0.28016377658187896	0.48608142529001513	-6.04671870746841e-21	0.17972709543753543	0.05402770269057045	-1.1955372412622163e-20	0.04218449020277896	0.019319926800448098
22	0.28520255348104206	0.47260772338994866	-5.611063400265827e-21	0.18852127332844454	0.053668449800564746	-1.1095623340550101e-20	0.04275538659317186	0.019582715966209842
23	0.2902413303802054	0.4591340214898816	-5.172005225792479e-21	0.19731545121935395	0.05330919691055905	-1.0230983885441048e-20	0.0433400624570807	0.01984550513197159
24	0.29528010727936854	0.44566031958981495	-4.7321797689397634e-21	0.20610962911026312	0.052949944020553336	-9.367984045521949e-21	0.04393796771386427	0.020108294297733333
25	0.3003188841785318	0.4321866176897482	-4.299694851224626e-21	0.21490380700117231	0.052590691130547665	-8.507703876512417e-21	0.044548569694821294	0.02037108346349508
26	0.30535766107769496	0.41871291578968134	-3.860342068067361e-21	0.2236979848920817	0.05223143824054194	-7.646290965445904e-21	0.04517135352048875	0.020633872629256825
27	0.3103964379768582	0.40523921388961465	-3.423373985215443e-21	0.23249216278299092	0.05187218535053625	-6.784636849446367e-21	0.04580582231420411	0.02089666179501857
28	0.31543521487602133	0.39176551198954807	-2.983915960798118e-21	0.24128634067390003	0.051512932460530535	-5.920296050410772e-21	0.04645149727271184	0.021159450960780313
29	0.32047399177518443	0.37829181008948154	-2.548181502731245e-21	0.2500805185648092	0.05115367957052482	-5.058955614929198e-21	0.04710791761330487	0.021422240126542057
30	0.3255127686743478	0.3648181081894145	-2.110697088404251e-21	0.25887469645571853	0.050794426680519124	-4.198650124951397e-21	0.04777464041555869	0.021685029292303804
31	0.33055154557351096	0.35134440628934793	-1.6714030915129328e-21	0.26766887434662767	0.05043517379051343	-3.3330040230533786e-21	0.04845124037420296	0.021947818458065548
32	0.3355903224726741	0.33787070438928124	-1.2343840536645637e-21	0.27646305223753703	0.050075920900507706	-2.4718215461489705e-21	0.04913730947813999	0.022210607623827296
